text,label
The rule was clearly stated to all players before hand. It hasn't been a problem in any other games.,tactical_analysis
That’s bad for Paraguay,hot_take
Never mind. Match over. The match against TUR will matter. Idiot.,hype_and_vibes
Turkey are shit. They won’t even beat our B team,hot_take
Roldan would twerk on them.,hype_and_vibes
17% possession for Paraguay,tactical_analysis
"Yeah, they are a park the bus and counter type of team.",tactical_analysis
"Wow, how did that not go in? It hit both the crossbar and the post.",hype_and_vibes
Paraguay's midfielders are so bad at passing and dribbling. They just keep clattering into each other.,hot_take
"Today, I feel paraguayan",hype_and_vibes
Watching Yildiz play for Juventus this year and I thought he looked a lot like a younger Pulisic. But Caceres is having a much better defensive effort against him than he did against Captain America last week.,tactical_analysis
I thought I had a bug in the house flying in front of the TV....it's birds on the field. WTF they're all over the place,hype_and_vibes
"Seagulls are really bad this time of day in the Bay area. I went to a Giants baseball game once, and they invaded the field at sundown.",hot_take
"This Par/Tur game is going to be such a great watch. Already hilariously performative, and refereed by the CONCACAF legend himself. Ivan Barton.",hype_and_vibes
THE WORLD CUP IS NEVER LEAVING AMERICA AGAIN,hype_and_vibes
"Turkey having a rough tournament so far! With not many upsets, they might be the biggest shock so far.",hot_take
Turkey getting eliminated after 2 games when their players said such cocky things would be cinema,hype_and_vibes
It looks like Turkiye are cursed the moment they become a mainstream dark horse pick 🤣,hot_take
God bless. You're so much better then you were vs the states Paraguay.,hype_and_vibes
"Well, that's a pretty good start for PAR.",hype_and_vibes
Paraguay doing what’s right,hype_and_vibes
YESSSSS,hype_and_vibes
I’m voting for Paraguay tonight,hype_and_vibes
Hooooooly shit,hype_and_vibes
PARAGUAAAAAAAAAAAAYYYYYYYY! ❤️❤️❤️❤️,hype_and_vibes
Woo,hype_and_vibes
"Mannn seeing these Paraguay faces again all I can think is “cooked him, cooked him, cooked him”",hype_and_vibes
Shit house Paraguay master class please,hype_and_vibes
I am at the Turkey-Paraguay game. Definitely a home game for the Turks.,fandom_inquiry
Brazil scores 3 against Haiti “ah yes they’re back.” US scores 3 against anyone “they still need to play a good opponent”,hot_take
The Brits are so mad abt it.,hype_and_vibes
I HAVE AN IMPORTANT QUESTION Should I buy a stars jersey or a stripes jersey,fandom_inquiry
waldo kit!,hype_and_vibes
Buy whichever one you like more?,hot_take
"Excited for the U.S. boys! ...but?, they seemingly played a better overall game 1 compared to this game today. Neither goal was intentionally made, by a direct shot. The first goal? Thank the Aussies. The 2nd goal? Really not a solid drive to the goal, except for the luck of being in the right place when the ball deflected. Nevertheless?, I/we will take them!! I just hope they find more energy for their next game. THey looked a bit tired in the 2nd half. A LOT tired actually. AUS had the ball for a good amount of time in that 2nd half!",tactical_analysis
I hope turkey aren’t as dirty as the other 2 teams if we have to play a serious matchup,hot_take
"The aussies are crashing out so hard in their sub, acting like the ref lost them the game lol. If the ref called the fouls they wanted on the US, they would’ve finished with 9 men.",hot_take
Violent J Memorial Big Money Hustla of the Match: Weston McKinnie,hype_and_vibes
"Seeing how dirty Australia is, I\m kind of happy that CP didn't play today--as fragile as he tends to be. It turned out great--another week--or two rest for our star.""",tactical_analysis
im being as well intentioned as possible: Why do we hate Alexi Lalas? He was on the postgame,fandom_inquiry
I’m so fucking invested now 🇺🇸,hype_and_vibes
"Did anyone see that gorgeous ref in the USA - AUS game?!?! Damn, I am in love ❤️",hype_and_vibes
Great match of the US win over Australia 2-0!,hype_and_vibes
Jozy Altidore on Telemundo lit rn,hype_and_vibes
Anyone else’s broadcast busted right now?,fandom_inquiry
Yes sir mine on YouTube TV is brutal so I'm going to Telemundo. Been watching there more anyways even though I don't speak Spanish,fandom_inquiry
"Jenny Taft looking a little like Alexis Fawx but idk who that is, a friend told me that 😐",hype_and_vibes
Nothing says home field advantage like a Noon local time game! What a joke @FIFA.,hot_take
On a national holiday it makes perfect sense,hot_take
"Are these games not scheduled well in advance, before the groups are even drawn",fandom_inquiry
NFL games are at noon all the time lol.,hot_take
The merch selection online really sucks - and hardly any inventory for 2XL,fandom_inquiry
"I don’t know if I can’t watch this live, I’m already too nervous 😬",hype_and_vibes
I didn’t realize Toure had 9G3A in 11 games he’s also rapid that’ll be the issue,tactical_analysis
"No Irankunda tho, but if he comes off the bench he'll be fresh and a handful for our backline in transition",tactical_analysis
Watching the pre-game on live tv in argentina and put on the Fox US stream..what a difference. Argentina showing the players warming up and announcers talking about the players individually. Fox -- non stop ads and non stop Lalas,hot_take
I know it’s been beat to death but all the former US players men or women are terrible at commentary and it’s just a matter of what degree of terrible they are. Personally I think Tim Howard is the best of the lot but that’s not saying much.,hot_take
with no puli we’re gonna need Seattle to be loud af for the boys. CMONNNNNNNN! USA USA USA,hype_and_vibes
That speech by Jameis Winston would have been pretty cringy if it wasn't so earnest. Thankfully it was.,hot_take
"Pepi...? Idk man, dude is a shell of himself in the US jersey. He played the entirety of those 18 minutes scared of the moment. Hope he can prove me wrong today.",hot_take
Anyone selling four tickets to this game lol my mom accidentally sold our tickets a week ago. Don’t ask….,fandom_inquiry
the show goes on is such a throwback,hype_and_vibes
The lack of news about him was sus,hot_take
Sounds like if it’s a knock out game he would be playing. Overall good to rest him,tactical_analysis
"Yeah, this isn't a do or die - if they needed this match to get out of the group, he would play",tactical_analysis
Pulisic being out is....rough,hype_and_vibes
Puli out,fandom_inquiry
Wow confirmed no Pulisic Vegas seemed to know this and has Zendejas in.,hot_take
If it is Zendejas I'm excited to see him finally start,hype_and_vibes
how do you know zendejas is in?,fandom_inquiry
"WE ARE NORTH AMERICANS AND TO THOSE OF YOU WHO STILL THINK WE'RE FROM ENGLAND We're not, no",hype_and_vibes
"As a Knicks fan and a huge soccer fan, the past 2 months has been absolutely out of this world. From champions league to the playoff run to the world cup. I'm in heaven.",hype_and_vibes
He's 10000% right like it or not everyone needs time away from their significant other.,hot_take
Zlatan on 🔥🔥🔥,hype_and_vibes
Zlatan is on one,hype_and_vibes
Jalen Brunson mentality 0-0,hype_and_vibes
Lmao glad he isn’t here but anyone know why?,fandom_inquiry
"Lalas got canned!!!! Lalas got canned!!!! Ah they moved him, I'll still take it",hype_and_vibes
WHO ??,fandom_inquiry
Zlatan LMAO,hype_and_vibes
OMG Zlatan lmaoo,hype_and_vibes
What did he say?! I misssed it damn!,fandom_inquiry
"Holy shit Seattle. Hats off to you, happy we are playing a game for those fans.",hype_and_vibes
Let's go USA 🇺🇸. Seattle should be rocking this afternoon!,hype_and_vibes
I made arrangements today thinking the match was at 1pm ET. Damn.,hype_and_vibes
"So hyped for this match to be played in Seattle, the true (small sample size) fortress for US Soccer. The men haven't lost a match played in Seattle since 1979. Since Lumen Field opened, we're 6-0-0 and have only conceded 2 goals against 16 goals scored. And only 1 of those games was a friendly, the rest were a mix of Gold Cup and Copa America games plus 1 World Cup qualifier.",tactical_analysis
I’m begging yall in Seattle to get a battle hymn of republic song going,hype_and_vibes
"I'm trying, but I'm in North Seattle and I think it's just annoying my neighbors and the coyotes",hype_and_vibes
"On fotmob, puli isn’t starting",tactical_analysis
It’s just predicted. They have no inside knowledge,tactical_analysis
When are they announcing the lineups?,fandom_inquiry
Waiting outside for the US boys! Approximately 30 minutes until they make their way to stadium! 🇺🇸,hype_and_vibes
"TSAMINAMINA, HEY HEY, WAKA WAKA HEY, HEY, BALOGUN HE SCORES AGAIN, WE STOLE HIM FROM ENGLAND lfg boys",hype_and_vibes
TONIGHT WE DINE IN HELL,hype_and_vibes
Its more this afternoon tbf BUT? We'll be dining in hell. A late brunch in hell,hype_and_vibes
"I'm going today. First time seeing the boys live, so fucking excited. We better win!",hype_and_vibes
No effing chance pulisic doesn’t play … a kick in the calf? Please,hot_take
UP THE FUCKING STARS AND STRIPES CMON,hype_and_vibes
"For one day only, screw the kangaroos, wombats, koalas, Tasmanian devils - we got the opossum. That’s the only marsupial we need #Merica",hype_and_vibes
Who would start ahead of Puli if he sits? Haji?,fandom_inquiry
Either Tillman on the wing or possibly Zendejas.,tactical_analysis
It should be Tillman on the wing and McKennie and Adams in midfield. We don't need to play through a press today so the lack of on-ball ability isn't as big a problem,tactical_analysis
Going to the game today. So hyped. My method of dealing with stress is over analyzing everything so I built an odds simulator 538 style for the world cup in case your brain is broken in the same way as mine. Enjoy.,hype_and_vibes
"Aussie bros, we’re normally cool but today you’re gonna remember you’re gonna remember that you should stick to b-tier kangaroo movies instead of soccer",hype_and_vibes
Re watched the turkiye highlights. They barely got into Australias box. Beating a low block is hard. We need an aerial threat and really good crossers,tactical_analysis
The idea that Pulisic is somehow not playing today is hilarious to me,hot_take
Zendejas masterclass incoming?,hype_and_vibes
"I can see this ending up like when we played Iran in 2022. Get an early goal to spoil Australia’s gameplan, only this time, don’t take your foot off the gas",tactical_analysis
"The difference between this game and Iran, is that Iran only needed a draw to advance. Even if we manage to draw, we would still control our own destiny.",tactical_analysis
don’t love having to stay up till 1am to learn our full situation but we should all be rooting for Paraguay to figure there lives out no matter what happens at 3 here.,hype_and_vibes
"🦅🇺🇸 WAKE UP YOU FREEDOM LOVING PATRIOTS!!! 🇺🇸🦅 Today is the day our BOYS IN RED, WHITE, AND BLUE 🟥⬜🟦 take a MASSIVE, FREEDOM-FILLED DUMP 💩 on Australia at the World Cup! ⚽🏆 That’s right, we’re taking on those kangaroo-humping 🦘🍆, Vegemite-chugging 🤢, upside-down losers from Down Under! 🙃 They might have the Great Barrier Reef, but we have the GREAT AMERICAN MEAT HAWK 🦅🥩 ready to penetrate their defense and score deep in their Outback! 🍑😩 Let’s show these former convicts what REAL independence looks like! 🎇💥 Our boys are gonna spread so much freedom all over that pitch, they'll be begging for a safe word! 🤐🇺🇸 If you want Uncle Sam to DOMINATE 🥵 and bring that cup home to the land of the free 🦅🏆, you better forward this to 10 of your sluttiest patriots right NOW! 📱🇺🇸 If you break this chain, you’re getting DEPORTED TO ENGLAND 🇬🇧☕ to eat soggy beans on toast for the rest of your miserable, flavorless life! 🚫🏴󠁧󠁢󠁥󠁮󠁧󠁿 GET TO SENDING AND LET FREEDOM RING!!! 🔔🦅💥🇺🇸",hype_and_vibes
"The one positive about a low block is with VAR if we are going to have that many shots and that much possession in the final third, the odds of a penalty in our favor increases significantly.",tactical_analysis
LETS FUCKING GO!I REJECT REALITY AND SUBSTITUTE MY OWN. WERE WINNING THIS BITCH 3-0 USA USA USA CLINCH THAT GROUP!,hype_and_vibes
"I assume we’ll have a ton of possession and face a low block. We have to be clinical in front of goal. The surprise results thus far had the more favored team have chance after chance, but didn’t have the right mix of creativity, patience and a willingness to get into the box and sacrifice for a goal. I’m excited to see who will be that player for us. Wes is someone I think will be incredibly important tomorrow for multiple reason, but I think his ability to win the ball in the air will be huge. If Puli plays, his greatest asset is moving off the ball and predicting the danger areas. Defensively we have to be smart and understand Aus wants us to have 8 players in our attacking third, so they can play kickball. Dest and Jedi will be incredibly important tomorrow. They have to know their role offensively and defensively. If not it will expose Ream due to his lack of pace and Freeman’s lack of experience. And for the love of goodness, Tyler, please stay out of the books. Pulisic situation is tricky. If he’s healthy obviously everyone wants him to play. But let’s just think about this deeper cause who knows how his health is right now. Our team understands Pulisic’s importance of course, but do they believe they can win it all or make a deep run if Puli isn’t at his best? I don’t think very many do. Yes, I know it’s only Aus, but what if he doesn’t play and we play just as well as we did in our first match?! Now that belief gets stronger, the pressure begins to loosen on Puli, and our team understands, we don’t need Puli to be Messi, we just need him to do his job. The mental side is just as important as the physical and luck or fortune side. This could set our team well ahead of so many others if you handle this right. Disclaimer: by no means in any world am I saying don’t play a healthy Puli so we can get better mentally. Call me what you want, but there is something special about this TEAM. And I put team in all caps because I truly feel we are one of the better teams right now. Are we in the same stadium when it comes to Spain, France, or even England on a talent level, of course not. However, when it comes to togetherness, believing that the person next to you will do their job instead of trying to be a super hero, and the heart to persevere, we not only are in the same stadium those teams, we’re right there. Yes it was one match, but this team is no stranger to struggle or defeat. In fact, we had a ton of that in the lead up to this WC and I think that’s only made us stronger. Win or lose tomorrow and no matter how deep we go in this tournament, I’m grateful to be alive and witness the greatest WC in my young 35 years of life. I’m proud to be an American. Let’s GO USA!!!",tactical_analysis
He was a huge reason why we played that well. I wish we didn’t shut it down in the second half so we could see what his replacements could do in that role.,tactical_analysis
I’m shitting myself I’m so nervous for tomorrow. That Australian low block and then fast counter attacks really worry me. I’ll go on Hajj if the U.S. wins the World Cup.,hype_and_vibes
"Fast counter has me nervous. I think we can press and eat them up with or without Pulisic (I’d go with Weah). But that counter against a back line that is mandated to dramatically brain fart once a game is giving me seizures. And Ream’s game is all about anticipation and positioning, which he does well. But the fast counter makes his margin of error near zero. If I was AUS I’d be playing direct and fast.",tactical_analysis
"Im just nervous, cause Pulisic is not playing bro :("",hype_and_vibes""",
I'm so hyped I can't sleep,hype_and_vibes
At a destination wedding. Bride and groom don’t care about soccer. Welcome dinner starts an hour before the game. How mad do I make my wife tonight?,hype_and_vibes
That’s bonkers bro. But I’d say you must have eaten something for lunch that isn’t sitting well and take off to the hotel room to “rest” (don’t talk about the World Cup at all and if it comes up play dumb “oh that World Cup is going on?”),hype_and_vibes
"You'll have a full hour at a WELCOME dinner? I just got married. Welcome dinner is not a big deal. We had people showing up late, leaving early to go fuck, bar hopping, etc. This is the goddamn World Cup, on home soil, in Seattle no less. You do what your country needs you to do and just fuck right off and go watch the match. When you look back years from now, and remember leaving to see the Yanks properly smash the Roos 5-0 at some destination wedding, you'll close your eyes with the sun on your face and smile.",hype_and_vibes
Phone in your lap,hype_and_vibes
"Whatever your excuse is dude, you can rely on me for an alibi, home World Cup, we need all hands",hype_and_vibes
You can always avoid spoilers and watch the full game later. I plan on doing that with the Turkey match,hype_and_vibes
Stomach bug incoming. Must be that destination water! I'm sure you'll be feeling all better after a good night's rest though.,hype_and_vibes
I’m still awake after a 10 hour shift that ended 3 hours ago. I’m too pumped to crash,hype_and_vibes
